Sample Index,Classification Status,Actual Label,Predicted Label,Prediction Probability (%),Top Positive Features,Top Negative Features,Top 5 SHAP Features
16318,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
10304,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
20416,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
34983,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
12051,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
28324,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
2665,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
5321,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
15085,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
9488,Correct,Normal,Normal,100.0,,"affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187)","affected_services_count (-8.851), warn_log_count (-2.271), propagation_depth (-0.187), healthy_services_count (-0.081), workflow_name (0.000)"
33610,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
15124,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
18505,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
33382,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
18060,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
2861,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
9775,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
10186,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
33411,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
36274,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
12695,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
10452,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
17448,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
26653,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
33686,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
34028,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
30975,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
3565,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
8549,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
11562,Correct,Anomaly,Anomaly,100.0,"affected_services_count (+8.296), warn_log_count (+2.182), propagation_depth (+0.183)",,"affected_services_count (8.296), warn_log_count (2.182), propagation_depth (0.183), healthy_services_count (0.080), workflow_name (0.000)"
