Sample Index,Classification Status,Actual Label,Predicted Label,Prediction Confidence (%),Top Positive Features,Top Negative Features,Top 5 SHAP Features
23915,Correct,CPU,CPU,99.99,"cpu_usage (+3.768), memory_usage (+1.527), primary_service (+0.395)","memory_trend (-0.100), successful_requests (-0.048), cpu_trend (-0.024)","cpu_usage (3.768), memory_usage (1.527), primary_service (0.395), workflow_name (0.176), p95_latency (0.126)"
22619,Correct,CPU,CPU,99.98,"cpu_usage (+3.806), memory_usage (+1.429), memory_trend (+0.739)","primary_service (-0.308), error_rate_trend (-0.043), retry_count (-0.038)","cpu_usage (3.806), memory_usage (1.429), memory_trend (0.739), primary_service (-0.308), successful_requests (0.099)"
24260,Correct,LOG,LOG,100.0,"affected_services_count (+2.163), cpu_usage (+1.826), memory_usage (+0.508)","cpu_trend (-0.097), workflow_name (-0.020), queue_length (-0.014)","affected_services_count (2.163), cpu_usage (1.826), memory_usage (0.508), warn_log_count (0.357), database_state (0.128)"
29197,Correct,CPU,CPU,99.99,"cpu_usage (+3.695), memory_usage (+1.580), primary_service (+0.417)","memory_trend (-0.055), successful_requests (-0.043), retry_count (-0.009)","cpu_usage (3.695), memory_usage (1.580), primary_service (0.417), workflow_name (0.176), p95_latency (0.103)"
18817,Correct,MEMORY,MEMORY,99.99,"memory_usage (+4.581), database_state (+1.462), memory_trend (+0.498)","queue_length (-0.058), successful_requests (-0.033), info_log_count (-0.006)","memory_usage (4.581), database_state (1.462), memory_trend (0.498), healthy_services_count (0.171), cpu_usage (0.099)"
25459,Correct,NONE,NONE,100.0,"affected_services_count (+4.390), warn_log_count (+1.053), propagation_depth (+0.105)",,"affected_services_count (4.390), warn_log_count (1.053), propagation_depth (0.105), healthy_services_count (0.104), propagation_chain_length (0.053)"
24193,Correct,LOG,LOG,99.99,"affected_services_count (+2.121), cpu_usage (+1.828), memory_usage (+0.487)","info_log_count (-0.036), workflow_name (-0.029), memory_trend (-0.018)","affected_services_count (2.121), cpu_usage (1.828), memory_usage (0.487), warn_log_count (0.357), cpu_trend (0.174)"
857,Correct,NONE,NONE,100.0,"affected_services_count (+4.390), warn_log_count (+1.053), propagation_depth (+0.105)",,"affected_services_count (4.390), warn_log_count (1.053), propagation_depth (0.105), healthy_services_count (0.104), propagation_chain_length (0.053)"
28553,Correct,NONE,NONE,100.0,"affected_services_count (+4.390), warn_log_count (+1.053), propagation_depth (+0.105)",,"affected_services_count (4.390), warn_log_count (1.053), propagation_depth (0.105), healthy_services_count (0.104), propagation_chain_length (0.053)"
39488,Correct,LOG,LOG,100.0,"affected_services_count (+2.159), cpu_usage (+1.821), memory_usage (+0.515)","cpu_trend (-0.080), workflow_name (-0.025), queue_length (-0.021)","affected_services_count (2.159), cpu_usage (1.821), memory_usage (0.515), warn_log_count (0.358), database_state (0.128)"
21528,Misclassified,LOG,MEMORY,89.92,"memory_usage (+1.590), database_state (+1.190), memory_trend (+0.492)","request_volume (-0.525), successful_requests (-0.198), cpu_usage (-0.134)","memory_usage (1.590), database_state (1.190), request_volume (-0.525), memory_trend (0.492), successful_requests (-0.198)"
11647,Misclassified,CPU,MEMORY,57.4,"memory_usage (+1.699), database_state (+0.870), request_volume (+0.441)","memory_trend (-1.112), latency_trend (-0.217), retry_count (-0.030)","memory_usage (1.699), memory_trend (-1.112), database_state (0.870), request_volume (0.441), successful_requests (0.232)"
23843,Misclassified,CPU,MEMORY,62.69,"memory_usage (+1.846), memory_trend (+0.459), latency_trend (+0.352)","database_state (-0.208), queue_length (-0.148), healthy_services_count (-0.091)","memory_usage (1.846), memory_trend (0.459), latency_trend (0.352), successful_requests (0.249), request_volume (0.236)"
20633,Misclassified,CPU,MEMORY,75.17,"memory_usage (+1.630), database_state (+1.190), memory_trend (+0.660)","request_volume (-0.446), successful_requests (-0.209), cpu_usage (-0.132)","memory_usage (1.630), database_state (1.190), memory_trend (0.660), request_volume (-0.446), successful_requests (-0.209)"
26637,Misclassified,CPU,MEMORY,96.53,"memory_usage (+1.776), database_state (+1.247), request_volume (+0.674)","memory_trend (-0.654), p95_latency (-0.018), success_rate (-0.008)","memory_usage (1.776), database_state (1.247), request_volume (0.674), memory_trend (-0.654), successful_requests (0.462)"
12754,Misclassified,LOG,MEMORY,69.84,"memory_usage (+1.576), database_state (+1.119), request_volume (+0.661)","memory_trend (-0.454), cpu_trend (-0.247), retry_count (-0.035)","memory_usage (1.576), database_state (1.119), request_volume (0.661), memory_trend (-0.454), successful_requests (0.287)"
6780,Misclassified,CPU,MEMORY,89.67,"memory_usage (+1.675), database_state (+1.190), memory_trend (+0.277)","successful_requests (-0.072), retry_count (-0.050), latency_trend (-0.043)","memory_usage (1.675), database_state (1.190), memory_trend (0.277), healthy_services_count (0.154), successful_requests (-0.072)"
22913,Misclassified,MEMORY,CPU,58.63,"cpu_usage (+2.681), primary_service (+0.264), cpu_trend (+0.075)","memory_usage (-1.412), memory_trend (-0.397), request_volume (-0.142)","cpu_usage (2.681), memory_usage (-1.412), memory_trend (-0.397), primary_service (0.264), request_volume (-0.142)"
18320,Misclassified,MEMORY,CPU,80.88,"cpu_usage (+2.612), primary_service (+0.232), workflow_name (+0.117)","memory_usage (-1.150), memory_trend (-0.280), successful_requests (-0.131)","cpu_usage (2.612), memory_usage (-1.150), memory_trend (-0.280), primary_service (0.232), successful_requests (-0.131)"
36442,Misclassified,CPU,MEMORY,88.28,"memory_usage (+1.712), database_state (+1.204), memory_trend (+0.339)","cpu_usage (-0.101), successful_requests (-0.067), average_latency (-0.061)","memory_usage (1.712), database_state (1.204), memory_trend (0.339), healthy_services_count (0.165), cpu_usage (-0.101)"
12848,Misclassified,LOG,MEMORY,77.35,"memory_usage (+1.640), database_state (+1.141), memory_trend (+0.277)","successful_requests (-0.162), request_volume (-0.139), average_latency (-0.072)","memory_usage (1.640), database_state (1.141), memory_trend (0.277), healthy_services_count (0.165), successful_requests (-0.162)"
15590,Misclassified,MEMORY,CPU,77.52,"cpu_usage (+3.157), memory_trend (+0.324), successful_requests (+0.187)","memory_usage (-0.907), primary_service (-0.447), average_latency (-0.088)","cpu_usage (3.157), memory_usage (-0.907), primary_service (-0.447), memory_trend (0.324), successful_requests (0.187)"
15008,Misclassified,MEMORY,CPU,51.87,"cpu_usage (+3.145), memory_trend (+0.263), successful_requests (+0.191)","memory_usage (-0.950), primary_service (-0.459), cpu_trend (-0.094)","cpu_usage (3.145), memory_usage (-0.950), primary_service (-0.459), memory_trend (0.263), successful_requests (0.191)"
9625,Misclassified,LOG,MEMORY,63.3,"memory_usage (+1.441), database_state (+0.793), request_volume (+0.336)","memory_trend (-1.005), cpu_trend (-0.201), average_latency (-0.135)","memory_usage (1.441), memory_trend (-1.005), database_state (0.793), request_volume (0.336), queue_length (0.226)"
14943,Misclassified,MEMORY,CPU,75.68,"cpu_usage (+3.188), memory_trend (+0.977), average_latency (+0.032)","memory_usage (-0.977), primary_service (-0.460), successful_requests (-0.378)","cpu_usage (3.188), memory_usage (-0.977), memory_trend (0.977), primary_service (-0.460), successful_requests (-0.378)"
37011,Misclassified,LOG,MEMORY,96.31,"memory_usage (+1.689), database_state (+1.146), memory_trend (+0.332)","successful_requests (-0.182), average_latency (-0.083), request_volume (-0.055)","memory_usage (1.689), database_state (1.146), memory_trend (0.332), successful_requests (-0.182), healthy_services_count (0.165)"
18917,Misclassified,MEMORY,CPU,79.96,"cpu_usage (+3.005), successful_requests (+0.380), request_volume (+0.261)","memory_usage (-0.969), primary_service (-0.506), cpu_trend (-0.105)","cpu_usage (3.005), memory_usage (-0.969), primary_service (-0.506), successful_requests (0.380), request_volume (0.261)"
15213,Misclassified,LOG,MEMORY,53.79,"memory_usage (+1.603), database_state (+1.205), memory_trend (+0.534)","request_volume (-0.582), cpu_usage (-0.183), successful_requests (-0.102)","memory_usage (1.603), database_state (1.205), request_volume (-0.582), memory_trend (0.534), cpu_usage (-0.183)"
13447,Misclassified,CPU,MEMORY,75.56,"memory_usage (+1.638), database_state (+1.372), memory_trend (+0.571)","request_volume (-0.581), successful_requests (-0.217), error_rate_trend (-0.069)","memory_usage (1.638), database_state (1.372), request_volume (-0.581), memory_trend (0.571), successful_requests (-0.217)"
29416,Misclassified,MEMORY,CPU,50.95,"cpu_usage (+3.122), successful_requests (+0.298), request_volume (+0.230)","memory_usage (-0.899), primary_service (-0.525), memory_trend (-0.123)","cpu_usage (3.122), memory_usage (-0.899), primary_service (-0.525), successful_requests (0.298), request_volume (0.230)"
